Date,ProductName,Category,SalesVolume,PricePerUnit
1962-07-24,Carrot,Vegetable,45,4.45
1962-07-24,Orange,Fruit,24,1.06
1962-07-24,Tomato,Vegetable,63,2.0
1962-07-25,Apple,Fruit,55,1.37
1962-07-25,Banana,Fruit,132,3.32
1962-07-25,Carrot,Vegetable,38,3.62
1962-07-25,Orange,Fruit,21,2.41
1962-07-25,Tomato,Vegetable,100,2.16
1962-07-26,Apple,Fruit,105,4.65
1962-07-26,Banana,Fruit,126,4.78
1962-07-26,Carrot,Vegetable,129,1.97
1962-07-26,Orange,Fruit,22,2.68
1962-07-26,Tomato,Vegetable,133,4.02
1962-07-27,Apple,Fruit,25,3.36
1962-07-27,Banana,Fruit,149,1.65
1962-07-27,Carrot,Vegetable,92,1.21
1962-07-27,Orange,Fruit,77,1.82
1962-07-27,Tomato,Vegetable,101,2.51
1962-07-28,Apple,Fruit,50,4.99
1962-07-28,Banana,Fruit,90,2.9
1962-07-28,Carrot,Vegetable,101,4.62
1962-07-28,Orange,Fruit,137,3.98
1962-07-28,Tomato,Vegetable,90,2.89
1962-07-29,Apple,Fruit,47,3.83
1962-07-29,Banana,Fruit,138,1.81
1962-07-29,Carrot,Vegetable,128,2.95
1962-07-29,Orange,Fruit,107,1.9
1962-07-29,Tomato,Vegetable,117,3.5
1962-07-30,Apple,Fruit,66,1.1
1962-07-30,Banana,Fruit,87,4.12
1962-07-30,Carrot,Vegetable,128,4.7
1962-07-30,Orange,Fruit,79,4.92
1962-07-30,Tomato,Vegetable,133,4.99
1962-07-31,Apple,Fruit,133,4.16
1962-07-31,Banana,Fruit,124,3.54
1962-07-31,Carrot,Vegetable,27,1.76
1962-07-31,Orange,Fruit,101,4.02
1962-07-31,Tomato,Vegetable,42,2.94
1962-08-01,Apple,Fruit,95,2.84
1962-08-01,Banana,Fruit,38,1.68
1962-08-01,Carrot,Vegetable,133,3.53
1962-08-01,Orange,Fruit,149,1.61
1962-08-01,Tomato,Vegetable,77,1.4
1962-08-02,Apple,Fruit,126,3.52
1962-08-02,Banana,Fruit,65,4.21
1962-08-02,Carrot,Vegetable,94,3.76
1962-08-02,Orange,Fruit,144,2.49
1962-08-02,Tomato,Vegetable,33,1.73
1962-08-03,Apple,Fruit,70,1.55
1962-08-03,Banana,Fruit,136,3.23
1962-08-03,Carrot,Vegetable,103,3.57
1962-08-03,Orange,Fruit,65,2.98
1962-08-03,Tomato,Vegetable,43,1.08
1962-08-04,Apple,Fruit,129,4.36
1962-08-04,Banana,Fruit,147,3.8
1962-08-04,Carrot,Vegetable,21,4.21
1962-08-04,Orange,Fruit,32,3.28
1962-08-04,Tomato,Vegetable,146,3.79
1962-08-05,Apple,Fruit,118,1.05
1962-08-05,Banana,Fruit,33,4.39
1962-08-05,Carrot,Vegetable,29,2.64
1962-08-05,Orange,Fruit,134,3.17
1962-08-05,Tomato,Vegetable,61,2.57
1962-08-06,Apple,Fruit,31,3.87
1962-08-06,Banana,Fruit,80,1.92
1962-08-06,Carrot,Vegetable,147,2.17
1962-08-06,Orange,Fruit,102,4.44
1962-08-06,Tomato,Vegetable,61,2.38
1962-08-07,Apple,Fruit,55,2.47
1962-08-07,Banana,Fruit,121,3.78
1962-08-07,Carrot,Vegetable,23,3.39
1962-08-07,Orange,Fruit,86,2.93
1962-08-07,Tomato,Vegetable,81,4.56
1962-08-08,Apple,Fruit,84,4.9
1962-08-08,Banana,Fruit,147,4.59
1962-08-08,Carrot,Vegetable,46,1.34
1962-08-08,Orange,Fruit,49,2.84
1962-08-08,Tomato,Vegetable,25,3.49
1962-08-09,Apple,Fruit,147,4.53
1962-08-09,Banana,Fruit,108,3.84
1962-08-09,Carrot,Vegetable,67,2.28
1962-08-09,Orange,Fruit,90,1.17
1962-08-09,Tomato,Vegetable,62,2.66
1962-08-10,Apple,Fruit,110,1.97
1962-08-10,Banana,Fruit,87,4.98
1962-08-10,Carrot,Vegetable,34,3.87
1962-08-10,Orange,Fruit,79,4.34
1962-08-10,Tomato,Vegetable,74,4.21
1962-08-11,Apple,Fruit,118,1.08
1962-08-11,Banana,Fruit,23,3.75
1962-08-11,Carrot,Vegetable,34,3.82
1962-08-11,Orange,Fruit,96,1.53
1962-08-11,Tomato,Vegetable,90,3.7
1962-08-12,Apple,Fruit,81,2.99
1962-08-12,Banana,Fruit,96,3.85
1962-08-12,Carrot,Vegetable,128,2.94
1962-08-12,Orange,Fruit,136,1.37
1962-08-12,Tomato,Vegetable,48,1.78
1962-08-13,Apple,Fruit,84,1.98
1962-08-13,Banana,Fruit,32,4.71
1962-08-13,Carrot,Vegetable,133,4.36
1962-08-13,Orange,Fruit,42,3.27
1962-08-13,Tomato,Vegetable,22,4.47
1962-08-14,Apple,Fruit,61,1.48
1962-08-14,Banana,Fruit,131,2.78
1962-08-14,Carrot,Vegetable,46,4.89
1962-08-14,Orange,Fruit,69,2.93
1962-08-14,Tomato,Vegetable,70,2.29
1962-08-15,Apple,Fruit,78,2.2
1962-08-15,Banana,Fruit,39,3.49
1962-08-15,Carrot,Vegetable,79,2.18
1962-08-15,Orange,Fruit,118,1.9
1962-08-15,Tomato,Vegetable,60,1.61
1962-08-16,Apple,Fruit,76,1.67
1962-08-16,Banana,Fruit,88,1.54
1962-08-16,Carrot,Vegetable,23,1.67
1962-08-16,Orange,Fruit,77,4.9
1962-08-16,Tomato,Vegetable,42,2.86
1962-08-17,Apple,Fruit,127,3.47
1962-08-17,Banana,Fruit,89,4.5
1962-08-17,Carrot,Vegetable,67,3.99
1962-08-17,Orange,Fruit,139,3.83
1962-08-17,Tomato,Vegetable,144,1.56
1962-08-18,Apple,Fruit,56,2.18
1962-08-18,Banana,Fruit,45,3.22
1962-08-18,Carrot,Vegetable,42,3.93
1962-08-18,Orange,Fruit,138,1.41
1962-08-18,Tomato,Vegetable,65,2.03
1962-08-19,Apple,Fruit,50,1.76
1962-08-19,Banana,Fruit,83,3.04
1962-08-19,Carrot,Vegetable,48,1.51
1962-08-19,Orange,Fruit,21,3.74
1962-08-19,Tomato,Vegetable,59,2.01
1962-08-20,Apple,Fruit,134,1.18
1962-08-20,Banana,Fruit,143,1.25
1962-08-20,Carrot,Vegetable,116,3.57
1962-08-20,Orange,Fruit,146,4.19
1962-08-20,Tomato,Vegetable,59,1.52
1962-08-21,Apple,Fruit,92,3.45
1962-08-21,Banana,Fruit,130,1.54
1962-08-21,Carrot,Vegetable,111,4.81
1962-08-21,Orange,Fruit,67,1.78
1962-08-21,Tomato,Vegetable,73,1.27
1962-08-22,Apple,Fruit,53,1.18
1962-08-22,Banana,Fruit,42,2.88
1962-08-22,Carrot,Vegetable,88,3.6
1962-08-22,Orange,Fruit,52,4.42
1962-08-22,Tomato,Vegetable,28,2.96
1962-08-23,Apple,Fruit,120,1.55
1962-08-23,Banana,Fruit,132,3.31
1962-08-23,Carrot,Vegetable,28,1.98
1962-08-23,Orange,Fruit,143,2.55
1962-08-23,Tomato,Vegetable,111,1.6
1962-08-24,Apple,Fruit,36,1.98
1962-08-24,Banana,Fruit,124,3.6
1962-08-24,Carrot,Vegetable,42,1.55
1962-08-24,Orange,Fruit,139,4.33
1962-08-24,Tomato,Vegetable,112,1.19
1962-08-25,Apple,Fruit,31,2.21
1962-08-25,Banana,Fruit,101,3.77
1962-08-25,Carrot,Vegetable,43,1.48
1962-08-25,Orange,Fruit,78,1.01
1962-08-25,Tomato,Vegetable,147,1.11
1962-08-26,Apple,Fruit,141,2.22
1962-08-26,Banana,Fruit,112,3.0
1962-08-26,Carrot,Vegetable,124,2.43
1962-08-26,Orange,Fruit,91,1.41
1962-08-26,Tomato,Vegetable,99,4.72
1962-08-27,Apple,Fruit,65,1.66
1962-08-27,Banana,Fruit,35,2.82
1962-08-27,Carrot,Vegetable,141,3.25
1962-08-27,Orange,Fruit,92,4.12
1962-08-27,Tomato,Vegetable,106,3.25
1962-08-28,Apple,Fruit,88,2.51
1962-08-28,Banana,Fruit,134,1.35
1962-08-28,Carrot,Vegetable,123,2.81
1962-08-28,Orange,Fruit,78,4.42
1962-08-28,Tomato,Vegetable,60,3.47
1962-08-29,Apple,Fruit,44,4.59
1962-08-29,Banana,Fruit,31,1.95
1962-08-29,Carrot,Vegetable,56,4.45
1962-08-29,Orange,Fruit,144,4.94
1962-08-29,Tomato,Vegetable,113,1.54
1962-08-30,Apple,Fruit,42,4.28
1962-08-30,Banana,Fruit,101,4.49
1962-08-30,Carrot,Vegetable,62,4.77
1962-08-30,Orange,Fruit,37,2.2
1962-08-30,Tomato,Vegetable,60,3.23
1962-08-31,Apple,Fruit,29,1.61
1962-08-31,Banana,Fruit,112,3.38
1962-08-31,Carrot,Vegetable,136,1.03
1962-08-31,Orange,Fruit,33,3.4
1962-08-31,Tomato,Vegetable,92,1.12
1962-09-01,Apple,Fruit,135,4.37
1962-09-01,Banana,Fruit,130,1.33
1962-09-01,Carrot,Vegetable,91,4.58
1962-09-01,Orange,Fruit,134,3.65
1962-09-01,Tomato,Vegetable,99,3.63
1962-09-02,Apple,Fruit,143,4.34
1962-09-02,Banana,Fruit,21,4.6
1962-09-02,Carrot,Vegetable,95,3.01
1962-09-02,Orange,Fruit,127,3.04
1962-09-02,Tomato,Vegetable,61,4.66
1962-09-03,Apple,Fruit,131,2.43
1962-09-03,Banana,Fruit,137,2.84
1962-09-03,Carrot,Vegetable,66,4.68
1962-09-03,Orange,Fruit,117,3.93
1962-09-03,Tomato,Vegetable,123,1.49
1962-09-04,Apple,Fruit,104,3.87
1962-09-04,Banana,Fruit,142,1.55
1962-09-04,Carrot,Vegetable,66,1.8
1962-09-04,Orange,Fruit,134,2.02
1962-09-04,Tomato,Vegetable,56,2.97
1962-09-05,Apple,Fruit,32,2.93
1962-09-05,Banana,Fruit,69,3.23
1962-09-05,Carrot,Vegetable,78,2.76
1962-09-05,Orange,Fruit,49,3.28
1962-09-05,Tomato,Vegetable,134,2.16
1962-09-06,Apple,Fruit,77,3.53
1962-09-06,Banana,Fruit,136,4.24
1962-09-06,Carrot,Vegetable,99,4.08
1962-09-06,Orange,Fruit,31,1.13
1962-09-06,Tomato,Vegetable,28,4.55
1962-09-07,Apple,Fruit,80,1.35
1962-09-07,Banana,Fruit,113,1.77
1962-09-07,Carrot,Vegetable,126,1.02
1962-09-07,Orange,Fruit,48,2.19
1962-09-07,Tomato,Vegetable,20,2.1
1962-09-08,Apple,Fruit,33,3.9
1962-09-08,Banana,Fruit,47,3.06
1962-09-08,Carrot,Vegetable,47,3.55
1962-09-08,Orange,Fruit,43,3.94
1962-09-08,Tomato,Vegetable,135,1.49
1962-09-09,Apple,Fruit,21,2.57
1962-09-09,Banana,Fruit,29,2.8
1962-09-09,Carrot,Vegetable,65,4.9
1962-09-09,Orange,Fruit,29,2.52
1962-09-09,Tomato,Vegetable,24,4.25
1962-09-10,Apple,Fruit,81,3.87
1962-09-10,Banana,Fruit,147,1.96
1962-09-10,Carrot,Vegetable,39,4.31
1962-09-10,Orange,Fruit,72,2.4
1962-09-10,Tomato,Vegetable,142,1.91
1962-09-11,Apple,Fruit,28,1.3
1962-09-11,Banana,Fruit,77,1.76
1962-09-11,Carrot,Vegetable,87,1.69
1962-09-11,Orange,Fruit,86,3.93
1962-09-11,Tomato,Vegetable,25,3.33
1962-09-12,Apple,Fruit,55,2.16
1962-09-12,Banana,Fruit,127,1.93
1962-09-12,Carrot,Vegetable,25,1.65
1962-09-12,Orange,Fruit,84,2.63
1962-09-12,Tomato,Vegetable,141,1.26
1962-09-13,Apple,Fruit,40,2.72
1962-09-13,Banana,Fruit,99,1.41
1962-09-13,Carrot,Vegetable,35,2.36
1962-09-13,Orange,Fruit,127,2.12
1962-09-13,Tomato,Vegetable,142,1.85
1962-09-14,Apple,Fruit,104,3.19
1962-09-14,Banana,Fruit,129,2.52
1962-09-14,Carrot,Vegetable,31,1.81
1962-09-14,Orange,Fruit,54,2.87
1962-09-14,Tomato,Vegetable,104,4.18
1962-09-15,Apple,Fruit,31,3.46
1962-09-15,Banana,Fruit,143,3.63
1962-09-15,Carrot,Vegetable,113,1.35
1962-09-15,Orange,Fruit,138,2.62
1962-09-15,Tomato,Vegetable,36,2.3
1962-09-16,Apple,Fruit,109,1.42
1962-09-16,Banana,Fruit,115,1.13
1962-09-16,Carrot,Vegetable,24,2.51
1962-09-16,Orange,Fruit,144,2.44
1962-09-16,Tomato,Vegetable,145,1.91
1962-09-17,Apple,Fruit,24,3.78
1962-09-17,Banana,Fruit,118,3.88
1962-09-17,Carrot,Vegetable,67,2.49
1962-09-17,Orange,Fruit,44,3.7
1962-09-17,Tomato,Vegetable,91,4.42
1962-09-18,Apple,Fruit,56,2.67
1962-09-18,Banana,Fruit,126,3.02
1962-09-18,Carrot,Vegetable,43,3.06
1962-09-18,Orange,Fruit,60,1.97
1962-09-18,Tomato,Vegetable,96,4.5
1962-09-19,Apple,Fruit,85,1.87
1962-09-19,Banana,Fruit,129,3.39
1962-09-19,Carrot,Vegetable,132,4.84
1962-09-19,Orange,Fruit,28,3.46
1962-09-19,Tomato,Vegetable,25,2.14
1962-09-20,Apple,Fruit,149,3.44
1962-09-20,Banana,Fruit,117,2.31
1962-09-20,Carrot,Vegetable,73,4.39
1962-09-20,Orange,Fruit,24,1.77
1962-09-20,Tomato,Vegetable,26,1.93
1962-09-21,Apple,Fruit,37,1.87
1962-09-21,Banana,Fruit,85,2.7
1962-09-21,Carrot,Vegetable,55,1.91
1962-09-21,Orange,Fruit,29,1.35
1962-09-21,Tomato,Vegetable,63,1.29
1962-09-22,Apple,Fruit,106,4.13
1962-09-22,Banana,Fruit,91,1.68
1962-09-22,Carrot,Vegetable,88,3.87
1962-09-22,Orange,Fruit,145,4.3
1962-09-22,Tomato,Vegetable,97,2.88
1962-09-23,Apple,Fruit,29,2.3
1962-09-23,Banana,Fruit,87,4.79
1962-09-23,Carrot,Vegetable,26,3.09
1962-09-23,Orange,Fruit,128,2.51
1962-09-23,Tomato,Vegetable,56,4.53
1962-09-24,Apple,Fruit,116,4.12
1962-09-24,Banana,Fruit,89,3.32
1962-09-24,Carrot,Vegetable,110,2.77
1962-09-24,Orange,Fruit,50,2.55
1962-09-24,Tomato,Vegetable,104,4.45
1962-09-25,Apple,Fruit,135,3.11
1962-09-25,Banana,Fruit,105,3.45
1962-09-25,Carrot,Vegetable,103,4.54
1962-09-25,Orange,Fruit,94,1.63
1962-09-25,Tomato,Vegetable,94,2.81
1962-09-26,Apple,Fruit,144,2.03
1962-09-26,Banana,Fruit,119,3.55
1962-09-26,Carrot,Vegetable,106,4.95
1962-09-26,Orange,Fruit,66,2.1
1962-09-26,Tomato,Vegetable,49,1.27
1962-09-27,Apple,Fruit,90,3.55
1962-09-27,Banana,Fruit,137,2.64
1962-09-27,Carrot,Vegetable,96,4.46
1962-09-27,Orange,Fruit,37,4.96
1962-09-27,Tomato,Vegetable,32,1.23
1962-09-28,Apple,Fruit,136,1.6
1962-09-28,Banana,Fruit,46,4.07
1962-09-28,Carrot,Vegetable,138,1.79
1962-09-28,Orange,Fruit,67,1.63
1962-09-28,Tomato,Vegetable,132,3.29
1962-09-29,Apple,Fruit,70,4.67
1962-09-29,Banana,Fruit,43,1.79
1962-09-29,Carrot,Vegetable,49,1.49
1962-09-29,Orange,Fruit,137,1.68
1962-09-29,Tomato,Vegetable,89,4.2
1962-09-30,Apple,Fruit,77,3.67
1962-09-30,Banana,Fruit,41,1.93
1962-09-30,Carrot,Vegetable,116,1.37
1962-09-30,Orange,Fruit,91,2.0
1962-09-30,Tomato,Vegetable,92,2.66
1962-10-01,Apple,Fruit,69,1.71
1962-10-01,Banana,Fruit,75,4.41
1962-10-01,Carrot,Vegetable,97,4.53
1962-10-01,Orange,Fruit,144,4.21
1962-10-01,Tomato,Vegetable,144,2.23
1962-10-02,Apple,Fruit,73,4.49
1962-10-02,Banana,Fruit,90,3.11
1962-10-02,Carrot,Vegetable,128,3.52
1962-10-02,Orange,Fruit,75,2.27
1962-10-02,Tomato,Vegetable,65,4.26
1962-10-03,Apple,Fruit,102,2.14
1962-10-03,Banana,Fruit,33,4.05
1962-10-03,Carrot,Vegetable,64,2.61
1962-10-03,Orange,Fruit,57,3.41
1962-10-03,Tomato,Vegetable,73,4.27
1962-10-04,Apple,Fruit,84,4.19
1962-10-04,Banana,Fruit,53,2.27
1962-10-04,Carrot,Vegetable,106,3.9
1962-10-04,Orange,Fruit,79,3.76
1962-10-04,Tomato,Vegetable,86,3.06
1962-10-05,Apple,Fruit,43,4.74
1962-10-05,Banana,Fruit,80,1.24
1962-10-05,Carrot,Vegetable,127,3.5
1962-10-05,Orange,Fruit,55,4.97
1962-10-05,Tomato,Vegetable,31,4.47
1962-10-06,Apple,Fruit,69,1.2
1962-10-06,Banana,Fruit,47,4.12
1962-10-06,Carrot,Vegetable,37,3.15
1962-10-06,Orange,Fruit,108,4.06
1962-10-06,Tomato,Vegetable,126,3.94
1962-10-07,Apple,Fruit,89,2.92
1962-10-07,Banana,Fruit,29,1.34
1962-10-07,Carrot,Vegetable,43,4.1
1962-10-07,Orange,Fruit,54,3.37
1962-10-07,Tomato,Vegetable,29,2.24
1962-10-08,Apple,Fruit,30,1.71
1962-10-08,Banana,Fruit,132,1.52
1962-10-08,Carrot,Vegetable,148,4.2
1962-10-08,Orange,Fruit,48,2.9
1962-10-08,Tomato,Vegetable,99,3.18
1962-10-09,Apple,Fruit,144,2.49
1962-10-09,Banana,Fruit,108,4.05
1962-10-09,Carrot,Vegetable,96,4.71
1962-10-09,Orange,Fruit,106,1.69
1962-10-09,Tomato,Vegetable,78,4.96
1962-10-10,Apple,Fruit,87,3.44
1962-10-10,Banana,Fruit,61,4.81
1962-10-10,Carrot,Vegetable,24,2.74
1962-10-10,Orange,Fruit,110,1.52
1962-10-10,Tomato,Vegetable,66,3.29
1962-10-11,Apple,Fruit,122,2.56
1962-10-11,Banana,Fruit,59,1.45
1962-10-11,Carrot,Vegetable,148,1.83
1962-10-11,Orange,Fruit,132,2.82
1962-10-11,Tomato,Vegetable,90,1.59
1962-10-12,Apple,Fruit,71,4.29
1962-10-12,Banana,Fruit,65,4.83
1962-10-12,Carrot,Vegetable,92,3.31
1962-10-12,Orange,Fruit,68,1.64
1962-10-12,Tomato,Vegetable,68,3.17
1962-10-13,Apple,Fruit,98,1.28
1962-10-13,Banana,Fruit,67,1.78
1962-10-13,Carrot,Vegetable,137,1.92
1962-10-13,Orange,Fruit,142,4.25
1962-10-13,Tomato,Vegetable,39,1.56
1962-10-14,Apple,Fruit,132,1.76
1962-10-14,Banana,Fruit,103,4.65
1962-10-14,Carrot,Vegetable,93,2.63
1962-10-14,Orange,Fruit,113,1.14
1962-10-14,Tomato,Vegetable,118,4.65
1962-10-15,Apple,Fruit,92,4.33
1962-10-15,Banana,Fruit,79,2.07
1962-10-15,Carrot,Vegetable,48,2.99
1962-10-15,Orange,Fruit,149,2.63
1962-10-15,Tomato,Vegetable,22,1.15
1962-10-16,Apple,Fruit,65,1.98
1962-10-16,Banana,Fruit,70,1.27
1962-10-16,Carrot,Vegetable,110,3.3
1962-10-16,Orange,Fruit,138,1.34
1962-10-16,Tomato,Vegetable,146,2.53
1962-10-17,Apple,Fruit,116,3.48
1962-10-17,Banana,Fruit,124,1.54
1962-10-17,Carrot,Vegetable,69,4.06
1962-10-17,Orange,Fruit,68,1.62
1962-10-17,Tomato,Vegetable,82,4.37
1962-10-18,Apple,Fruit,121,4.12
1962-10-18,Banana,Fruit,55,1.26
1962-10-18,Carrot,Vegetable,130,2.84
1962-10-18,Orange,Fruit,105,3.56
1962-10-18,Tomato,Vegetable,121,4.69
1962-10-19,Apple,Fruit,114,1.36
1962-10-19,Banana,Fruit,42,4.97
1962-10-19,Carrot,Vegetable,56,3.35
1962-10-19,Orange,Fruit,111,1.66
1962-10-19,Tomato,Vegetable,111,3.38
1962-10-20,Apple,Fruit,47,2.46
1962-10-20,Banana,Fruit,109,2.85
1962-10-20,Carrot,Vegetable,73,2.69
1962-10-20,Orange,Fruit,102,2.63
1962-10-20,Tomato,Vegetable,59,1.01
1962-10-21,Apple,Fruit,63,3.45
1962-10-21,Banana,Fruit,26,3.5
1962-10-21,Carrot,Vegetable,78,2.66
1962-10-21,Orange,Fruit,72,2.14
1962-10-21,Tomato,Vegetable,122,4.74
1962-10-22,Apple,Fruit,30,2.44
1962-10-22,Banana,Fruit,108,4.59
1962-10-22,Carrot,Vegetable,120,1.49
1962-10-22,Orange,Fruit,22,1.21
1962-10-22,Tomato,Vegetable,144,3.07
1962-10-23,Apple,Fruit,139,2.55
1962-10-23,Banana,Fruit,106,2.98
1962-10-23,Carrot,Vegetable,88,3.54
1962-10-23,Orange,Fruit,137,4.6
1962-10-23,Tomato,Vegetable,98,3.13
1962-10-24,Apple,Fruit,83,2.42
1962-10-24,Banana,Fruit,105,3.74
1962-10-24,Carrot,Vegetable,70,2.57
1962-10-24,Orange,Fruit,107,4.68
1962-10-24,Tomato,Vegetable,74,1.69
1962-10-25,Apple,Fruit,138,2.49
1962-10-25,Banana,Fruit,85,3.78
1962-10-25,Carrot,Vegetable,24,3.05
1962-10-25,Orange,Fruit,102,3.58
1962-10-25,Tomato,Vegetable,29,4.98
1962-10-26,Apple,Fruit,31,2.91
1962-10-26,Banana,Fruit,129,2.27
1962-10-26,Carrot,Vegetable,81,2.16
1962-10-26,Orange,Fruit,20,1.92
1962-10-26,Tomato,Vegetable,67,2.92
1962-10-27,Apple,Fruit,131,4.18
1962-10-27,Banana,Fruit,141,4.81
1962-10-27,Carrot,Vegetable,92,3.09
1962-10-27,Orange,Fruit,46,3.44
1962-10-27,Tomato,Vegetable,26,2.23
1962-10-28,Apple,Fruit,35,1.85
1962-10-28,Banana,Fruit,90,4.59
1962-10-28,Carrot,Vegetable,79,2.15
1962-10-28,Orange,Fruit,73,1.27
1962-10-28,Tomato,Vegetable,148,1.22
1962-10-29,Apple,Fruit,80,4.35
1962-10-29,Banana,Fruit,149,2.78
1962-10-29,Carrot,Vegetable,50,2.53
1962-10-29,Orange,Fruit,83,2.08
1962-10-29,Tomato,Vegetable,31,4.07
1962-10-30,Apple,Fruit,73,3.4
1962-10-30,Banana,Fruit,133,2.09
1962-10-30,Carrot,Vegetable,103,4.13
1962-10-30,Orange,Fruit,123,2.94
1962-10-30,Tomato,Vegetable,62,2.86
1962-10-31,Apple,Fruit,126,3.09
1962-10-31,Banana,Fruit,127,3.63
1962-10-31,Carrot,Vegetable,84,2.2
1962-10-31,Orange,Fruit,119,2.0
1962-10-31,Tomato,Vegetable,147,3.39
1962-11-01,Apple,Fruit,46,4.7
